Flag,Count
XA,1
MD,7
NM,10
AS,7
XN,1
XM,1
XO,2
XG,1
YT,1
HO,1
ZE,1
ZF,1
ZQ,1
ZR,1
XS,2
ms,1
nn,1
tp,1
cm,1
s1,1
s2,1
de,1
rl,1
XI,2
XE,2
XR,2
SV,1
QS,1
QE,1
CV,1
NH,1
PG,1
RG,1
PL,1
PU,1
LB,1
SM,1
